Elapsed Time (ms),Coarse Encoder Counts (6B),Coarse Degree
1,E20C7D,-135.93372576177285
2,E20DCF,-135.91031855955677
3,E20F21,-135.88691135734072
4,E21073,-135.86350415512464
5,E211C5,-135.8400969529086
6,E21317,-135.81668975069252
7,E21469,-135.79328254847644
8,E215BB,-135.7698753462604
9,E2170D,-135.74646814404431
10,E2185F,-135.72306094182827
11,E219B1,-135.6996537396122
12,E21B03,-135.67624653739614
13,E21C55,-135.65283933518006
14,E21DA7,-135.62943213296398
15,E21EF9,-135.6060249307479
16,E2204B,-135.58261772853186
17,E2219D,-135.55921052631578
18,E22246,-135.54750692520776
19,E22398,-135.52409972299168
20,E224EA,-135.50069252077563
21,E2263C,-135.47728531855955
22,E2278E,-135.4538781163435
23,E228E0,-135.43047091412743
24,E22A32,-135.40706371191135
25,E22B84,-135.3836565096953
26,E22CD6,-135.36024930747922
27,E22D7F,-135.3485457063712
28,E22ED1,-135.32513850415512
29,E23023,-135.30173130193907
30,E23175,-135.278324099723
31,E232C7,-135.25491689750692
32,E23370,-135.2432132963989
33,E234C2,-135.21980609418281
34,E23614,-135.19639889196677
35,E23766,-135.1729916897507
36,E2380F,-135.16128808864266
37,E23961,-135.1378808864266
38,E23AB3,-135.1144736842105
39,E23B5C,-135.10277008310248
40,E23CAE,-135.0793628808864
41,E23E00,-135.05595567867036
42,E23F52,-135.03254847645428
43,E23FFB,-135.02084487534626
44,E2414D,-134.9974376731302
45,E2429F,-134.97403047091413
46,E24348,-134.9623268698061
47,E2449A,-134.93891966759003
48,E24543,-134.92721606648198
49,E24695,-134.90380886426593
50,E247E7,-134.88040166204985
51,E24890,-134.86869806094182
52,E249E2,-134.84529085872578
53,E24A8B,-134.83358725761772
54,E24BDD,-134.81018005540167
55,E24D2F,-134.7867728531856
56,E24DD8,-134.77506925207757
57,E24F2A,-134.7516620498615
58,E24FD3,-134.73995844875347
59,E25125,-134.7165512465374
60,E251CE,-134.70484764542937
61,E25320,-134.6814404432133
62,E25472,-134.65803324099724
63,E2551B,-134.64632963988922
64,E2566D,-134.62292243767314
65,E25716,-134.6112188365651
66,E25868,-134.587811634349
67,E25911,-134.57610803324098
68,E25A63,-134.55270083102494
69,E25B0C,-134.54099722991688
70,E25BB5,-134.52929362880886
71,E25D07,-134.5058864265928
72,E25DB0,-134.49418282548478
73,E25F02,-134.4707756232687
74,E25FAB,-134.45907202216065
75,E260FD,-134.43566481994458
76,E261A6,-134.42396121883655
77,E2624F,-134.41225761772853
78,E263A1,-134.38885041551245
79,E2644A,-134.37714681440443
80,E2659C,-134.35373961218838
81,E26645,-134.34203601108032
82,E26797,-134.31862880886428
83,E26840,-134.30692520775625
84,E268E9,-134.2952216066482
85,E26A3B,-134.27181440443212
86,E26AE4,-134.2601108033241
87,E26C36,-134.23670360110802
88,E26CDF,-134.225
89,E26D88,-134.21329639889197
90,E26EDA,-134.1898891966759
91,E26F83,-134.17818559556787
92,E270D5,-134.15477839335182
93,E2717E,-134.14307479224377
94,E27227,-134.13137119113574
95,E272D0,-134.1196675900277
96,E27422,-134.09626038781164
97,E274CB,-134.0845567867036
98,E27574,-134.07285318559556
99,E276C6,-134.04944598337948
100,E2776F,-134.03774238227146
101,E27818,-134.02603878116344
102,E2796A,-134.0026315789474
103,E27A13,-133.99092797783933
104,E27B65,-133.96752077562329
105,E27C0E,-133.95581717451523
106,E27CB7,-133.9441135734072
107,E27E09,-133.92070637119113
108,E27EB2,-133.9090027700831
109,E27F5B,-133.89729916897505
110,E28004,-133.88559556786703
111,E28156,-133.86218836565098
112,E281FF,-133.85048476454293
113,E282A8,-133.8387811634349
114,E283FA,-133.81537396121885
115,E284A3,-133.8036703601108
116,E2854C,-133.79196675900278
117,E2869E,-133.7685595567867
118,E28747,-133.75685595567867
119,E287F0,-133.74515235457062
120,E28942,-133.72174515235457
121,E289EB,-133.71004155124655
122,E28A94,-133.6983379501385
123,E28BE6,-133.67493074792245
